platz,nachname,vorname,partei,stimme
30.0,Ackermann,Pia,SP,NEIN
83.0,Ackermann,Ruth,CVP,JA
42.0,Agosti Monn,Theres,SP,NEIN
177.0,Albanese,Franco,SVP,JA
52.0,Alder,Ronald,GLP,--
114.0,Amacker,Bruno,SVP,JA
126.0,Amrein,Hans-Peter,SVP,JA
163.0,Balmer,Bettina,FDP,JA
140.0,Bamert,Ueli,SVP,JA
171.0,Bär,Hansruedi,SVP,JA
57.0,Bartal,Isabel,SP,NEIN
17.0,Bärtschiger,Markus,SP,NEIN
86.0,Bellaiche,Judith,GLP,JA
165.0,Bender,André,SVP,JA
161.0,Berger,Antoine,FDP,JA
130.0,Biber,Michael,FDP,JA
20.0,Bischoff,Markus,AL,NEIN
22.0,Bloch,Beat,CSP,NEIN
159.0,Boesch,Hans-Jakob,FDP,JA
135.0,Bollinger,Erich,SVP,JA
173.0,Bonato,Diego,SVP,JA
111.0,Borer,Anita,SVP,JA
131.0,Bourgeois,Marc,FDP,JA
80.0,Brazerol,Rico,BDP,--
146.0,Brunner,Hans-Peter,FDP,JA
34.0,Brunner,Robert,Grüne,NEIN
1.0,Bürgin,Yvonne,CVP,--
154.0,Burtscher,Rochus,SVP,JA
7.0,Bussmann,Barbara,SP,NEIN
13.0,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
3a,Dalcher,Pierre,SVP,JA
043,Daurù,Andreas,SP,NEIN
029,Dünki,Michèle,SP,NEIN
095,Egli,Hans,EDU,JA
180,Egli,Karin,SVP,--
071,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,JA
066,Fehr Thoma,Karin,Grüne,NEIN
062,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,JA
068,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,JA
041,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
070,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
014,Göldi,Hanspeter,SP,NEIN
138,Grüter,Barbara,SVP,JA
033,Gschwind,Benedikt,SP,NEIN
024,Günthard Fitze,Barbara,EVP,NEIN
088,Gut,Astrid,BDP,JA
021,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
096,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,--
054,Häuptli,Daniel,GLP,JA
127,Hauser,Matthias,SVP,JA
036,Häusler,Edith,Grüne,--
065,Heierli,Daniel,Grüne,NEIN
072,Hodel,Daniel,GLP,JA
015,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,JA
156,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,JA
067,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
