platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
82,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,--
52,Alder,Ronald,GLP,--
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,--
57,Bartal,Isabel,SP,--
17,Bärtschiger,Markus,SP,--
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,--
130,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,--
131,Bourgeois,Marc,FDP,--
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,--
2,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
7,Bussmann,Barbara,SP,--
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,--
29,Dünki,Michèle,SP,--
95,Egli,Hans,EDU,--
1,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
66,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,--
149,Fischer,Benjamin,SVP,--
68,Forrer,Thomas,Grüne,--
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,--
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,--
138,Grüter,Barbara,SVP,--
33,Gschwind,Benedikt,SP,--
24,Günthard Fitze,Barbara,EVP,--
88,Gut,Astrid,BDP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,--
96,Häni,Peter,EDU,--
144,Hänni,Cäcilia,FDP,--
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,--
156,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,--
39,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
099,Jäger,Alexander,FDP,--
046,Joss,Rosmarie,SP,--
048,Kaeser,Regula,Grüne,--
032,Katumba,Andrew,SP,--
081,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
003,Kläy,Dieter,FDP,--
087,Koller,Ivo,BDP,--
097,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,--
091,Kutter,Philipp,CVP,--
063,Lais,Ruedi,SP,--
093,Lamprecht,Thomas,EDU,--
010,Langenegger,Tobias,SP,--
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,--
027,Loss,Davide,SP,--
136,Lucek,Christian,SVP,--
075,Mäder,Jörg,GLP,--
026,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,--
3a,Marti,Sibylle,SP,--
184,Marty Fässler,Carmen,SP,--
094,Marty,Maria Rita,EDU,--
008,Matter,Sylvie,SP,--
059,Meier,Esther,SP,--
023,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
122,Mischol,Tumasch,SVP,--
061,Molina,Fabian,SP,--
037,Monhart,Beat,EVP,--
168,Moor,Ursula,SVP,--
098,Müller,André,FDP,--
104,Müller,Christian,FDP,--
031,Munz,Roland,SP,--
035,Neukom,Martin,Grüne,--
182,Peter,Jacqueline,SP,--
051,Petri,Gabi,Grüne,--
064,Pfalzgraf,Hannah,SP,--
179,Pfister,Ulrich,SVP,--
166,Pflugshaupt,Elisabeth,SVP,--
084,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,--
050,Rigoni,Silvia,Grüne,--
147,Romer,Martin,parteilos,--
116,Rueff,Sonja,FDP,--
019,Sahli,Manuel,AL,--
040,Schaaf,Markus,EVP,--
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,--
085,Scherrer,Benno,GLP,--
120,Schmid,Claudio,SVP,--
