platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
103,Ackermann,Ruth,CVP,--
71,Aeschbacher,Nathalie,GLP,NEIN
42,Agosti,Theres,SP,--
31,Akanji,Sarah,SP,--
177,Albanese,Franco,SVP,JA
54,Alder,Ronald,GLP,--
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,JA
81,Barmettler,Franziska,GLP,--
57,Bartal,Isabel,SP,--
9,Bärtschiger,Markus,SP,--
168,Bender,André,SVP,JA
11,Berner,Melanie,AL,--
128,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,--
22,Bloch,Beat,Grüne,--
173,Bonato,Diego,SVP,JA
124,Bossert,Sandra,SVP,JA
129,Bourgeois,Marc,FDP,--
17,Brandenberger,Harry,SP,--
159,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,--
101,Bürgin,Yvonne,CVP,--
155,Burtscher,Rochus,SVP,JA
49,Büsser,Jeanette,Grüne,--
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
44,Columberg,Leandra,SP,--
083,Cometta-Müller,Katrin,GLP,--
4,Dalcher,Pierre,SVP,JA
41,Daurù,Andreas,SP,--
51,Dietschi,Urs,Grüne,--
29,Dünki,Michèle,SP,--
70,Dürr,Renate,Grüne,NEIN
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,--
147,Etter-Gick,Carola,FDP,--
100,Farner,Martin,FDP,--
110,Fehr Düsel,Nina,SVP,JA
37,Fehr,Karin,Grüne,--
148,Fehr,Raffaela,FDP,--
62,Feldmann,Stefan,SP,--
111,Finsler,Hans,SVP,JA
150,Fischer,Benjamin,SVP,JA
65,Forrer,Thomas,Grüne,--
130,Franzen,Barbara,FDP,--
158,Frey-Eigenmann,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
67,Galeuchet,David,Grüne,--
105,Gantner,Alex,FDP,--
26,Gehrig,Sonja,GLP,--
160,Geistlich,Andreas,FDP,--
75,Gisler,Andrea,GLP,--
14,Göldi,Hanspeter,SP,--
136,Grüter,Barbara,SVP,JA
93,Günthard,Barbara,EVP,--
21,Guyer,Esther,Grüne,--
161,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,JA
69,Hans,Urs,Grüne,--
55,Hasler,Andreas,GLP,--
91,Häuptli,Daniel,GLP,NEIN
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,--
52,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,JA
180,Hoffmann,Benedikt,SVP,JA
86,Hollenstein,Claudia,GLP,--
25,Honegger,Thomas,Grüne,--
123,Honegger,Walter,SVP,JA
89,Huber,Stefanie,GLP,--
156,Huber,Beat,SVP,JA
165,Huber,Martin,FDP,--
151,Hübscher,Martin,SVP,JA
78,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,--
112,Isler,René,SVP,--
145,Jäger,Alexander,FDP,--
39,Joss,Karin,GLP,--
46,Joss,Rosmarie,SP,--
38,Kampus,Manuel,Grüne,--
32,Katumba,Andrew,SP,--
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,--
24,L'Orange Seigo,Selma,Grüne,--
63,Lais,Ruedi,SP,--
119,Lamprecht,Thomas,EDU,JA
121,Landmann,Valentin,SVP,JA
33,Langenegger,Tobias,SP,--
178,Langhart,Konrad,SVP,JA
