platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
103,Ackermann,Ruth,CVP,JA
71,Aeschbacher,Nathalie,GLP,ENTHALTEN
42,Agosti,Theres,SP,ENTHALTEN
31,Akanji,Sarah,SP,NEIN
177,Albanese,Franco,SVP,JA
54,Alder,Ronald,GLP,JA
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,JA
140,Bamert,Ueli,SVP,JA
81,Barmettler,Franziska,GLP,ENTHALTEN
57,Bartal,Isabel,SP,JA
9,Bärtschiger,Markus,SP,NEIN
168,Bender,André,SVP,JA
11,Berner,Melanie,AL,NEIN
128,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,CSP,NEIN
173,Bonato,Diego,SVP,JA
124,Bossert,Sandra,SVP,JA
129,Bourgeois,Marc,FDP,JA
17,Brandenberger,Harry,SP,JA
159,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
101,Bürgin,Yvonne,CVP,JA
155,Burtscher,Rochus,SVP,JA
49,Büsser,Jeanette,Grüne,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
44,Columberg,Leandra,SP,NEIN
83,Cometta-Müller,Katrin,GLP,ENTHALTEN
4,Dalcher,Pierre,SVP,JA
41,Daurù,Andreas,SP,JA
51,Dietschi,Urs,Grüne,NEIN
29,Dünki,Michèle,SP,JA
70,Dürr,Renate,Grüne,NEIN
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,NEIN
147,Etter-Gick,Carola,FDP,JA
100,Farner,Martin,FDP,JA
110,Fehr Düsel,Nina,SVP,JA
36,Fehr,Karin,Grüne,NEIN
148,Fehr,Raffaela,FDP,JA
62,Feldmann,Stefan,SP,JA
111,Finsler,Hans,SVP,JA
150,Fischer,Benjamin,SVP,JA
65,Forrer,Thomas,Grüne,NEIN
130,Franzen,Barbara,FDP,JA
158,Frey-Eigenmann,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
67,Galeuchet,David,Grüne,NEIN
105,Gantner,Alex,FDP,JA
26,Gehrig,Sonja,GLP,ENTHALTEN
160,Geistlich,Andreas,FDP,--
