platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,NEIN
78,Albrecht,Verena,BDP,NEIN
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,ENTHALTEN
110,Arnold,Martin,SVP,ENTHALTEN
140,Bachmann,Ernst,SVP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,NEIN
124,Bartholdi,Roger,SVP,ENTHALTEN
75,Bellaiche,Judith,GLP,JA
13,Bischoff,Markus,AL,NEIN
20,Bloch,Beat,CSP,NEIN
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,JA
79,Brazerol,Rico,BDP,NEIN
34,Brunner,Robert,Grüne,NEIN
58,Büchi-Wild,Renate,SP,NEIN
97,Bürgin,Yvonne,CVP,NEIN
184,Burlet,Marcel,SP,--
154,Burtscher,Rochus,SVP,JA
5,Bussmann,Barbara,SP,NEIN
12,Bütikofer,Kaspar,AL,NEIN
116,Camenisch,Linda,FDP,NEIN
160,Clerici,Max F.,FDP,NEIN
179,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
99,Egli,Hans,EDU,JA
149,Egli,Karin,SVP,--
42,Egli,Ursina,SP,NEIN
071,Erdin,Andreas,GLP,--
130,Farner,Martin,FDP,NEIN
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,NEIN
66,Ferro,Ornella,Grüne,NEIN
82,Fischer,Gerhard,EVP,JA
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,JA
162,Frey,Beatrix,FDP,NEIN
138,Fürst,Reinhard,SVP,JA
117,Gantner,Alex,FDP,NEIN
24,Geilinger,Martin,Grüne,NEIN
147,Geistlich,Andreas,FDP,--
27,Gerber Rüegg,Julia,SP,NEIN
30,Göldi,Hanspeter,SP,NEIN
47,Golta,Raphael,SP,NEIN
17,Gschwind,Benedikt,SP,NEIN
54,Gutknecht,René,GLP,JA
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,JA
48,Hans,Urs,Grüne,NEIN
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,JA
69,Häusler,Edith,Grüne,NEIN
18,Heuberger,Catherine,SP,NEIN
151,Heusser,Hans-Heinrich,SVP,JA
23,Hildebrand,Esther,Grüne,NEIN
