platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,JA
78,Albrecht,Verena,BDP,JA
125,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,NEIN
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,JA
124,Bartholdi,Roger,SVP,NEIN
75,Bellaiche,Judith,GLP,JA
13,Bischoff,Markus,AL,NEIN
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
79,Brazerol,Rico,BDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi-Wild,Renate,SP,JA
97,Bürgin,Yvonne,CVP,JA
184,Burlet,Marcel,SP,JA
154,Burtscher,Rochus,SVP,NEIN
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,NEIN
116,Camenisch,Linda,FDP,JA
160,Clerici,Max F.,FDP,JA
179,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,NEIN
99,Egli,Hans,EDU,--
149,Egli,Karin,SVP,NEIN
42,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,JA
130,Farner,Martin,FDP,JA
145,Feit,Leila,FDP,--
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,--
82,Fischer,Gerhard,EVP,--
152,Frei-Baumann,Ruth,SVP,ENTHALTEN
178,Frei,Hans,SVP,--
162,Frey,Beatrix,FDP,JA
138,Fürst,Reinhard,SVP,NEIN
117,Gantner,Alex,FDP,JA
24,Geilinger,Martin,Grüne,JA
147,Geistlich,Andreas,FDP,JA
27,Gerber Rüegg,Julia,SP,JA
30,Göldi,Hanspeter,SP,NEIN
47,Golta,Raphael,SP,JA
17,Gschwind,Benedikt,SP,JA
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,NEIN
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
69,Häusler,Edith,Grüne,--
18,Heuberger,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,NEIN
23,Hildebrand,Esther,Grüne,JA
72,Hodel,Daniel,GLP,JA
175,Hofer,Jacqueline,SVP,NEIN
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,NEIN
87,Huber,Stefanie,GLP,JA
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,NEIN
167,Isliker,Walter,SVP,NEIN
2,Johner,Brigitta,FDP,JA
16,Joss,Rosmarie,SP,JA
50,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,--
128,Kläy,Dieter,FDP,JA
88,Kleiber-Schenkel,Ruth,EVP,NEIN
129,Kull-Benz,Katharina,FDP,JA
161,Kündig,Jörg,FDP,JA
101,Kutter,Philipp,CVP,JA
95,Kyburz,Heinz,EDU,JA
63,Lais,Ruedi,SP,JA
7,Lalli,Emy,SP,JA
139,Langhard,Walter,SVP,--
174,Langhart,Konrad,SVP,NEIN
65,Läubli,Hans,Grüne,JA
106,Lauffer,Urs,FDP,JA
80,Lenggenhager,Marcel,BDP,--
57,Loss,Davide,SP,--
137,Lucek,Christian,SVP,NEIN
26,Mäder,Jörg,GLP,JA
